CODIGO_E_NOME_DA_CARREIRA,VAGAS,INSCRITOS,AUSENTES,CONVOC_2_FASE,CONVOC_POR_VAGA,CORTE_MIN,MAX
100−Administração − Ribeirão Preto,105,1468,279,282,2.69,44,70
101−Administração − Piracicaba,40,588,103,110,2.75,43,59
105−Arquitetura − FAU,150,4714,480,403,2.69,57,79
110−Arquitetura − São Carlos,45,1373,204,117,2.60,54,78
115−Artes Cênicas − Bacharelado,15,623,93,51,3.40,53,69
120−Artes Cênicas − Licenciatura,10,222,45,33,3.30,46,64
125−Artes Visuais,30,127,1,80,2.67,43,68
130−Biblioteconomia,35,252,31,94,2.69,39,63
135−Ciências Contábeis − Ribeirão Preto,45,436,106,107,2.38,40,70
140−Ciências da Informação e da Documentação − Ribeirão Preto,40,82,8,59,1.48,27,60
145−Ciências Sociais,210,1593,201,630,3.00,44,79
150−Curso Superior do Audiovisual,35,1443,134,110,3.14,59,81
155−Design,40,1393,256,122,3.05,52,70
160−Direito,560,12272,1436,1551,2.77,57,82
"165−Economia, Administração, Ciências Contábeis e Atuária",590,6722,748,1596,2.71,50,80
170−Economia Empresarial e Controladoria − Ribeirão Preto,70,456,29,196,2.80,41,65
175−Economia − Piracicaba,40,314,19,115,2.88,45,67
180−Economia − Ribeirão Preto,45,475,46,139,3.09,49,70
185−Editoração,15,293,45,49,3.27,49,65
190−Filosofia,170,1027,178,455,2.68,40,72
195−Geografia,170,846,71,457,2.69,37,64
"200−Gestão Ambiental − USP Leste, SP",120,494,67,273,2.28,30,70
205−Gestão Ambiental − Piracicaba,40,153,13,94,2.35,32,63
"210−Gestão de Políticas Públicas − USP Leste, SP",120,661,80,321,2.68,36,61
215−História,270,2031,242,769,2.85,43,71
220−Jornalismo,60,2706,343,183,3.05,55,74
"225−Lazer e Turismo − USP Leste, SP",120,488,67,284,2.37,28,58
230−Licenciatura em Educomunicação,30,109,16,70,2.33,32,63
235−Letras,849,3776,474,2163,2.55,34,78
"240−Marketing − USP Leste, SP",120,1142,148,292,2.43,41,70
245−Música − ECA,35,129,4,89,2.54,32,61
250−Música − Ribeirão Preto,30,171,51,76,2.53,31,67
255−Pedagogia,180,1032,179,436,2.42,33,65
260−Pedagogia − Ribeirão Preto,50,393,47,110,2.20,37,61
265−Publicidade e Propaganda,50,2499,406,131,2.62,53,75
270−Relações Internacionais,60,2294,232,189,3.15,58,82
275−Relações Públicas,50,1020,104,134,2.68,47,69
"280−Têxtil e Moda − USP Leste, SP",60,751,100,169,2.82,40,63
285−Turismo,30,372,82,74,2.47,36,64
