CODIGO_E_NOME_DA_CARREIRA,VAGAS,INSCRITOS,AUSENTES,CONVOC_2_FASE,CONVOC_POR_VAGA,CORTE_MIN,MAX
"100−Administração, Ciências Contábeis, Economia, Economia Empresarial e Controla...",212,1794,181,493,2.33,43,77
101−Administração − Piracicaba,35,387,42,77,2.20,40,59
105−Arquitetura − FAU,105,3227,289,244,2.32,57,80
110−Arquitetura − São Carlos,31,889,73,71,2.29,55,71
115−Artes Cênicas,30,738,113,67,2.23,49,72
125−Artes Visuais,30,171,5,74,2.47,45,73
130−Biblioteconomia,28,115,14,62,2.21,33,62
140−Ciências da Informação e da Documentação − Ribeirão Preto,28,62,10,38,1.36,27,56
145−Ciências Sociais,147,1089,154,341,2.32,43,73
150−Curso Superior do Audiovisual,24,1568,175,56,2.33,62,75
155−Design,28,976,122,69,2.46,53,74
160−Direito,392,10742,1153,981,2.50,58,83
"165−Economia, Administração, Ciências Contábeis e Atuária",413,5552,553,995,2.41,52,89
175−Economia − Piracicaba,35,325,30,87,2.49,45,74
185−Editoração,10,156,18,23,2.30,48,77
190−Filosofia,119,769,166,282,2.37,42,72
195−Geografia,119,559,48,280,2.35,37,70
"200−Gestão Ambiental − USP Leste, SP",84,344,25,185,2.20,33,60
205−Gestão Ambiental − Piracicaba,32,92,8,63,1.97,27,59
"210−Gestão de Políticas Públicas − USP Leste, SP",84,427,48,199,2.37,36,71
215−História,189,1664,204,435,2.30,45,82
220−Jornalismo,42,1607,142,95,2.26,54,71
"225−Lazer e Turismo − USP Leste, SP",84,298,28,174,2.07,30,58
230−Licenciatura em Educomunicação,21,87,14,47,2.24,37,54
235−Letras,594,2957,394,1329,2.24,37,76
"240−Marketing − USP Leste, SP",84,726,75,206,2.45,40,68
245−Música − ECA,50,145,2,104,2.08,27,71
250−Música − Ribeirão Preto,30,56,0,36,1.20,27,55
255−Pedagogia,126,825,110,272,2.16,38,72
260−Pedagogia − Ribeirão Preto,35,439,50,78,2.23,40,62
265−Publicidade e Propaganda,35,1313,164,77,2.20,52,70
270−Relações Internacionais,42,2178,185,98,2.33,60,77
275−Relações Públicas,35,608,54,78,2.23,46,64
"280−Têxtil e Moda − USP Leste, SP",42,443,71,96,2.29,40,67
285−Turismo,21,182,32,46,2.19,38,61
399−Treinamento Humanas,300,4487,438,692,2.31,44,71
"400−Bacharelado em Biotecnologia − USP Leste, SP",42,394,38,100,2.38,47,70
401−Ciências Biológicas,84,1487,118,191,2.27,53,76
405−Ciências Biológicas − Piracicaba,21,305,25,47,2.24,47,64
410−Ciências Biológicas − Ribeirão Preto,28,423,36,64,2.29,51,72
415−Ciências Biomédicas,30,1100,114,68,2.27,59,79
416−Ciências Biomédicas − Ribeirão Preto,20,427,31,45,2.25,53,75
425−Ciências dos Alimentos − Piracicaba,28,129,11,60,2.14,33,53
430−Educação Física e Esporte,80,732,77,169,2.11,40,65
435−Educação Física e Esporte − Ribeirão Preto,42,360,30,91,2.17,37,69
"436−Educação Física e Saúde − USP Leste, SP",42,222,25,85,2.02,33,56
440−Enfermagem,56,791,113,115,2.05,43,70
445−Enfermagem − Ribeirão Preto,104,810,71,241,2.32,38,61
