CODIGO_E_NOME_DA_CARREIRA,VAGAS,INSCRITOS,AUSENTES,CONVOC_2_FASE,CONVOC_POR_VAGA,CORTE_MIN,MAX
100−Administração − Ribeirão Preto,94,942,113,225,2.39,45,74
101−Administração − Piracicaba,40,405,43,108,2.70,42,64
105−Arquitetura − FAU,150,3705,374,381,2.54,57,84
110−Arquitetura − São Carlos,45,1231,130,108,2.40,55,84
115−Artes Cênicas − Bacharelado,15,543,83,40,2.67,55,68
120−Artes Cênicas − Licenciatura,10,129,30,22,2.20,47,63
125−Artes Visuais,30,144,3,76,2.53,46,71
130−Biblioteconomia,35,163,28,79,2.26,39,68
135−Ciências Contábeis − Ribeirão Preto,40,378,49,90,2.25,43,68
140−Ciências da Informação e da Documentação − Ribeirão Preto,32,41,6,30,0.94,27,56
145−Ciências Sociais,168,1390,210,428,2.55,48,84
150−Curso Superior do Audiovisual,35,1351,153,95,2.71,60,80
155−Design,40,1043,141,103,2.58,53,76
160−Direito,448,10962,1151,1154,2.58,59,87
"165−Economia, Administração, Ciências Contábeis e Atuária",590,5745,553,1449,2.46,52,82
170−Economia Empresarial e Controladoria − Ribeirão Preto,63,373,38,153,2.43,42,73
175−Economia − Piracicaba,40,299,32,97,2.43,47,71
180−Economia − Ribeirão Preto,40,465,43,101,2.53,54,81
185−Editoração,15,211,18,36,2.40,52,72
190−Filosofia,136,940,186,357,2.63,45,78
195−Geografia,136,727,67,319,2.35,43,68
"200−Gestão Ambiental − USP Leste, SP",84,529,56,194,2.31,39,71
205−Gestão Ambiental − Piracicaba,32,123,10,77,2.41,34,64
"210−Gestão de Políticas Públicas − USP Leste, SP",84,581,68,205,2.44,43,70
215−História,216,1941,219,566,2.62,48,74
220−Jornalismo,60,2012,197,152,2.53,56,86
"225−Lazer e Turismo − USP Leste, SP",84,295,40,186,2.21,31,60
230−Licenciatura em Educomunicação,30,132,21,70,2.33,41,71
235−Letras,679,3318,441,1599,2.35,41,74
"240−Marketing − USP Leste, SP",84,802,91,202,2.40,43,62
245−Música − ECA,35,119,4,82,2.34,39,65
250−Música − Ribeirão Preto,30,51,1,40,1.33,27,69
255−Pedagogia,126,1009,154,280,2.22,42,72
260−Pedagogia − Ribeirão Preto,40,456,36,90,2.25,43,71
265−Publicidade e Propaganda,50,1726,205,128,2.56,52,76
270−Relações Internacionais,48,2068,225,116,2.42,60,87
275−Relações Públicas,50,723,68,126,2.52,47,69
"280−Têxtil e Moda − USP Leste, SP",42,475,68,93,2.21,43,77
285−Turismo,30,212,43,74,2.47,38,65
399−Treinamento Humanas,300,5005,483,738,2.46,47,74
400−Ciências Biológicas,102,1582,116,243,2.38,54,79
405−Ciências Biológicas − Piracicaba,30,248,27,79,2.63,44,62
410−Ciências Biológicas − Ribeirão Preto,60,603,40,151,2.52,48,86
415−Ciências Biomédicas,34,1059,93,85,2.50,59,83
416−Ciências Biomédicas − Ribeirão Preto,22,430,38,52,2.36,53,79
425−Ciências dos Alimentos − Piracicaba,40,123,13,89,2.23,31,69
430−Educação Física e Esporte,80,730,91,182,2.28,41,67
435−Educação Física e Esporte − Ribeirão Preto,48,376,39,108,2.25,38,57
"436−Educação Física e Saúde − USP Leste, SP",42,213,45,87,2.07,34,60
440−Enfermagem,64,732,97,138,2.16,44,74
445−Enfermagem − Ribeirão Preto,117,690,64,277,2.37,38,68
450−Engenharia Agronômica − Piracicaba(*),160,1256,114,384,2.40,43,75
455−Engenharia Florestal − Piracicaba (*),32,184,14,73,2.28,40,70
460−Farmácia−Bioquímica,120,1147,97,308,2.57,50,80
465−Farmácia−Bioquímica − Ribeirão Preto,75,433,31,187,2.49,41,77
470−Fisioterapia,25,594,72,55,2.20,48,71
475−Fisioterapia − Ribeirão Preto,36,460,41,87,2.42,43,72
480−Fonoaudiologia,25,155,10,60,2.40,37,70
485−Fonoaudiologia − Bauru,28,98,8,63,2.25,32,60
490−Fonoaudiologia − Ribeirão Preto,27,179,17,60,2.22,37,65
"495−Gerontologia − USP Leste, SP",42,370,22,91,2.17,40,65
500−Medicina,295,17331,1826,765,2.59,73,90
505−Medicina − Ribeirão Preto,90,6474,570,287,3.19,72,89
510−Medicina Veterinária,72,2396,270,170,2.36,54,79
