CODIGO_E_NOME_DA_CARREIRA,VAGAS,INSCRITOS,AUSENTES,CONVOC_2_FASE,CONVOC_POR_VAGA,CORTE_MIN,MAX
− Candidatos de Escola Pública − Grupo PPI,3,5,0,4,1.33,33,43
735−Engenharia Civil − São Carlos,,,,,,,
− Ampla Concorrência,31,560,41,139,4.48,54,76
− Candidatos de Escola Pública,14,210,27,60,4.29,42,69
− Candidatos de Escola Pública − Grupo PPI,10,79,15,43,4.30,28,61
,,,,,,,
740−Engenharia de Alimentos − Pirassununga,,,,,,,
− Ampla Concorrência,38,199,10,156,4.11,33,73
− Candidatos de Escola Pública,18,61,3,53,2.94,27,58
− Candidatos de Escola Pública − Grupo PPI,14,15,2,8,0.57,27,62
745−Engenharia de Biossistemas − Pirassununga,,,,,,,
− Ampla Concorrência,24,53,1,46,1.92,27,63
− Candidatos de Escola Pública,10,24,1,19,1.90,29,48
− Candidatos de Escola Pública − Grupo PPI,8,6,1,4,0.50,27,41
750−Engenharia de Materiais − Lorena,,,,,,,
− Ampla Concorrência,20,134,8,81,4.05,40,66
− Candidatos de Escola Pública,7,18,4,11,1.57,28,55
− Candidatos de Escola Pública − Grupo PPI,3,6,0,5,1.67,31,41
755−Engenharia de Materiais e Manufatura − São Carlos,,,,,,,
− Ampla Concorrência,25,158,4,105,4.20,47,79
− Candidatos de Escola Pública,12,45,5,36,3.00,27,67
− Candidatos de Escola Pública − Grupo PPI,8,8,0,5,0.63,30,38
760−Engenharia de Produção − Lorena,,,,,,,
− Ampla Concorrência,20,264,25,81,4.05,48,76
− Candidatos de Escola Pública,5,59,7,21,4.20,39,69
− Candidatos de Escola Pública − Grupo PPI,5,15,1,11,2.20,27,51
765−Engenharia Elétrica e de Computação − São Carlos,,,,,,,
− Ampla Concorrência,74,1082,64,301,4.07,58,82
− Candidatos de Escola Pública,27,346,37,116,4.30,46,78
− Candidatos de Escola Pública − Grupo PPI,8,67,8,32,4.00,33,62
770−Engenharia Física − Lorena,,,,,,,
− Ampla Concorrência,20,130,8,82,4.10,48,76
− Candidatos de Escola Pública,5,27,6,19,3.80,28,72
− Candidatos de Escola Pública − Grupo PPI,5,6,0,6,1.20,27,53
771−Engenharia Química − Lorena,,,,,,,
− Ampla Concorrência,72,585,19,298,4.14,45,82
− Candidatos de Escola Pública,28,148,13,115,4.11,29,71
− Candidatos de Escola Pública − Grupo PPI,20,50,9,28,1.40,28,61
775−Engenharia − São Carlos,,,,,,,
− Ampla Concorrência,75,1112,42,311,4.15,59,82
− Candidatos de Escola Pública,36,266,14,146,4.06,40,77
− Candidatos de Escola Pública − Grupo PPI,21,53,4,37,1.76,28,52
780−Engenharia na Escola Politécnica,,,,,,,
− Ampla Concorrência,424,5568,223,1816,4.28,62,88
− Candidatos de Escola Pública,222,1549,110,925,4.17,40,82
− Candidatos de Escola Pública − Grupo PPI,137,457,36,372,2.72,27,82
790−Física / Física Computacional / Meteorologia / Geofísica / Astronomia / Estat...,,,,,,,
− Ampla Concorrência,253,1843,162,1018,4.02,47,81
− Candidatos de Escola Pública,115,651,87,472,4.10,32,77
− Candidatos de Escola Pública − Grupo PPI,75,180,18,147,1.96,27,65
795−Física Médica − Ribeirão Preto,,,,,,,
− Ampla Concorrência,20,126,5,81,4.05,39,80
− Candidatos de Escola Pública,9,51,6,36,4.00,28,66
− Candidatos de Escola Pública − Grupo PPI,5,8,0,5,1.00,34,46
800−Geologia,,,,,,,
− Ampla Concorrência,27,159,9,109,4.04,37,78
− Candidatos de Escola Pública,8,39,6,30,3.75,29,56
− Candidatos de Escola Pública − Grupo PPI,0,0,0,0,−−−,−−−,−−−
805−Informática Biomédica − Ribeirão Preto,,,,,,,
− Ampla Concorrência,11,54,4,44,4.00,28,58
− Candidatos de Escola Pública,2,17,1,8,4.00,45,59
− Candidatos de Escola Pública − Grupo PPI,2,4,1,3,1.50,32,44
,,,,,,,
815−Licenciatura em Ciências Exatas − São Carlos,,,,,,,
− Ampla Concorrência,19,57,6,50,2.63,28,67
− Candidatos de Escola Pública,10,13,3,10,1.00,31,60
− Candidatos de Escola Pública − Grupo PPI,6,3,0,3,0.50,35,52
820−Licenciatura em Geociências e Educação Ambiental,,,,,,,
− Ampla Concorrência,22,36,8,26,1.18,28,62
− Candidatos de Escola Pública,6,9,1,8,1.33,28,54
− Candidatos de Escola Pública − Grupo PPI,0,0,0,0,−−−,−−−,−−−
825−Licenciatura em Matemática / Física,,,,,,,
− Ampla Concorrência,142,455,37,399,2.81,27,84
− Candidatos de Escola Pública,38,160,33,109,2.87,27,65
− Candidatos de Escola Pública − Grupo PPI,13,38,7,26,2.00,28,68
830−Matemática Aplicada − Ribeirão Preto,,,,,,,
− Ampla Concorrência,20,99,3,82,4.10,33,71
− Candidatos de Escola Pública,7,24,4,18,2.57,28,58
− Candidatos de Escola Pública − Grupo PPI,4,6,0,5,1.25,30,36
840−Oceanografia,,,,,,,
− Ampla Concorrência,18,121,9,72,4.00,42,70
− Candidatos de Escola Pública,7,51,5,30,4.29,35,59
− Candidatos de Escola Pública − Grupo PPI,3,17,3,11,3.67,27,54
850−Química (Bacharelado ou Bacharelado com Habilitação em Química Forens...,,,,,,,
− Ampla Concorrência,23,247,9,93,4.04,47,71
− Candidatos de Escola Pública,11,81,9,49,4.45,35,57
− Candidatos de Escola Pública − Grupo PPI,8,24,3,15,1.88,30,54
