CODIGO_E_NOME_DA_CARREIRA,VAGAS,INSCRITOS,AUSENTES,CONVOC_2_FASE,CONVOC_POR_VAGA,CORTE_MIN,MAX
"100−Administração, Ciências Contábeis, Economia, Economia Empresarial e Co...",,,,,,,
− Ampla Concorrência,131,1183,100,531,4.05,41,78
− Candidatos de Escola Pública,34,263,40,137,4.03,31,65
− Candidatos de Escola Pública − Grupo PPI,19,77,16,37,1.95,27,53
101−Administração − Piracicaba,,,,,,,
− Ampla Concorrência,21,219,21,91,4.33,39,64
− Candidatos de Escola Pública,10,62,6,43,4.30,28,49
− Candidatos de Escola Pública − Grupo PPI,6,12,5,6,1.00,28,46
105−Arquitetura − FAU,,,,,,,
− Ampla Concorrência,90,2166,155,369,4.10,52,77
− Candidatos de Escola Pública,9,530,51,44,4.89,48,65
− Candidatos de Escola Pública − Grupo PPI,6,200,21,26,4.33,41,55
110−Arquitetura − São Carlos,,,,,,,
− Ampla Concorrência,18,529,30,81,4.50,50,74
− Candidatos de Escola Pública,8,150,13,33,4.13,43,66
− Candidatos de Escola Pública − Grupo PPI,5,29,2,20,4.00,29,46
115−Artes Cênicas,,,,,,,
− Ampla Concorrência,18,413,44,82,4.56,45,61
− Candidatos de Escola Pública,7,155,17,29,4.14,41,63
− Candidatos de Escola Pública − Grupo PPI,5,59,3,22,4.40,35,52
125−Artes Visuais,,,,,,,
− Ampla Concorrência,18,561,55,85,4.72,50,73
− Candidatos de Escola Pública,7,198,25,28,4.00,45,62
− Candidatos de Escola Pública − Grupo PPI,5,62,8,20,4.00,32,59
130−Biblioteconomia,,,,,,,
− Ampla Concorrência,22,128,11,90,4.09,32,69
− Candidatos de Escola Pública,6,51,7,25,4.17,31,52
− Candidatos de Escola Pública − Grupo PPI,4,17,2,11,2.75,27,37
140−Ciências da Informação e da Documentação − Ribeirão Preto,,,,,,,
− Ampla Concorrência,24,168,3,102,4.25,35,60
− Candidatos de Escola Pública,2,13,1,8,4.00,32,49
− Candidatos de Escola Pública − Grupo PPI,2,4,0,0,−−−,−−−,−−−
145−Ciências Sociais,,,,,,,
− Ampla Concorrência,126,708,67,510,4.05,36,76
− Candidatos de Escola Pública,21,297,41,87,4.14,40,60
− Candidatos de Escola Pública − Grupo PPI,0,0,0,0,−−−,−−−,−−−
150−Curso Superior do Audiovisual,,,,,,,
− Ampla Concorrência,21,891,62,95,4.52,56,72
− Candidatos de Escola Pública,3,241,28,12,4.00,52,62
− Candidatos de Escola Pública − Grupo PPI,0,0,0,0,−−−,−−−,−−−
155−Design,,,,,,,
− Ampla Concorrência,24,678,69,98,4.08,50,67
− Candidatos de Escola Pública,3,186,21,12,4.00,49,58
− Candidatos de Escola Pública − Grupo PPI,1,43,11,4,4.00,42,59
160−Direito,,,,,,,
− Ampla Concorrência,336,7729,632,1468,4.37,53,80
− Candidatos de Escola Pública,56,2399,316,225,4.02,49,80
− Candidatos de Escola Pública − Grupo PPI,0,0,0,0,−−−,−−−,−−−
"165−Economia, Administração, Ciências Contábeis e Atuária",,,,,,,
− Ampla Concorrência,354,4285,339,1446,4.08,48,80
− Candidatos de Escola Pública,37,872,106,166,4.49,45,63
− Candidatos de Escola Pública − Grupo PPI,22,324,40,92,4.18,37,58
175−Economia − Piracicaba,,,,,,,
− Ampla Concorrência,21,210,7,84,4.00,45,67
− Candidatos de Escola Pública,10,76,8,40,4.00,37,62
− Candidatos de Escola Pública − Grupo PPI,6,13,1,11,1.83,31,51
,,,,,,,
185−Editoração,,,,,,,
− Ampla Concorrência,8,85,4,34,4.25,45,63
− Candidatos de Escola Pública,2,28,2,8,4.00,48,60
− Candidatos de Escola Pública − Grupo PPI,2,12,2,8,4.00,34,52
190−Filosofia,,,,,,,
− Ampla Concorrência,102,431,84,331,3.25,27,73
− Candidatos de Escola Pública,17,179,35,72,4.24,38,60
− Candidatos de Escola Pública − Grupo PPI,0,0,0,0,−−−,−−−,−−−
195−Geografia,,,,,,,
− Ampla Concorrência,102,522,45,410,4.02,32,67
− Candidatos de Escola Pública,0,0,0,0,−−−,−−−,−−−
− Candidatos de Escola Pública − Grupo PPI,17,78,12,55,3.24,28,47
"200−Gestão Ambiental − USP Leste, SP",,,,,,,
− Ampla Concorrência,60,170,15,142,2.37,27,55
− Candidatos de Escola Pública,18,61,8,38,2.11,27,50
− Candidatos de Escola Pública − Grupo PPI,6,22,3,12,2.00,28,49
205−Gestão Ambiental − Piracicaba,,,,,,,
− Ampla Concorrência,20,119,9,80,4.00,32,59
− Candidatos de Escola Pública,6,31,2,23,3.83,27,50
− Candidatos de Escola Pública − Grupo PPI,2,5,0,1,0.50,29,29
"210−Gestão de Políticas Públicas − USP Leste, SP",,,,,,,
− Ampla Concorrência,60,273,28,239,3.98,27,73
− Candidatos de Escola Pública,18,91,9,72,4.00,28,54
− Candidatos de Escola Pública − Grupo PPI,6,47,5,27,4.50,30,55
215−História,,,,,,,
− Ampla Concorrência,162,1090,95,669,4.13,38,69
− Candidatos de Escola Pública,27,477,50,119,4.41,42,67
− Candidatos de Escola Pública − Grupo PPI,0,0,0,0,−−−,−−−,−−−
220−Jornalismo,,,,,,,
− Ampla Concorrência,32,975,95,142,4.44,51,68
− Candidatos de Escola Pública,10,267,39,42,4.20,44,58
− Candidatos de Escola Pública − Grupo PPI,6,124,14,30,5.00,39,57
"225−Lazer e Turismo − USP Leste, SP",,,,,,,
− Ampla Concorrência,60,217,18,168,2.80,27,60
− Candidatos de Escola Pública,18,38,9,18,1.00,27,47
− Candidatos de Escola Pública − Grupo PPI,6,26,5,11,1.83,27,47
230−Letras,,,,,,,
− Ampla Concorrência,425,1851,208,1517,3.57,27,78
− Candidatos de Escola Pública,127,845,112,529,4.17,31,59
− Candidatos de Escola Pública − Grupo PPI,42,280,53,172,4.10,28,55
235−Licenciatura em Educomunicação,,,,,,,
− Ampla Concorrência,16,64,6,55,3.44,27,61
− Candidatos de Escola Pública,3,20,4,13,4.33,32,43
− Candidatos de Escola Pública − Grupo PPI,2,4,1,2,1.00,33,40
"240−Marketing − USP Leste, SP",,,,,,,
− Ampla Concorrência,60,510,53,252,4.20,37,66
− Candidatos de Escola Pública,18,155,13,73,4.06,34,57
− Candidatos de Escola Pública − Grupo PPI,6,40,5,23,3.83,27,45
245−Música − ECA,,,,,,,
− Ampla Concorrência,30,237,28,124,4.13,37,70
− Candidatos de Escola Pública,12,105,12,49,4.08,34,60
− Candidatos de Escola Pública − Grupo PPI,8,43,5,25,3.13,27,42
250−Música − Ribeirão Preto,,,,,,,
− Ampla Concorrência,18,51,3,38,2.11,27,55
− Candidatos de Escola Pública,6,32,2,21,3.50,27,45
− Candidatos de Escola Pública − Grupo PPI,6,17,1,6,1.00,27,36
,,,,,,,
255−Pedagogia,,,,,,,
− Ampla Concorrência,108,469,34,377,3.49,27,64
− Candidatos de Escola Pública,18,215,29,77,4.28,35,67
− Candidatos de Escola Pública − Grupo PPI,0,0,0,0,−−−,−−−,−−−
260−Pedagogia − Ribeirão Preto,,,,,,,
− Ampla Concorrência,30,100,9,75,2.50,27,65
− Candidatos de Escola Pública,2,35,3,12,6.00,32,40
− Candidatos de Escola Pública − Grupo PPI,3,25,3,12,4.00,27,45
265−Publicidade e Propaganda,,,,,,,
− Ampla Concorrência,25,793,85,106,4.24,47,74
− Candidatos de Escola Pública,5,175,21,22,4.40,42,63
− Candidatos de Escola Pública − Grupo PPI,5,67,14,21,4.20,35,47
270−Relações Internacionais,,,,,,,
− Ampla Concorrência,30,1676,132,124,4.13,57,77
− Candidatos de Escola Pública,6,359,40,26,4.33,50,68
− Candidatos de Escola Pública − Grupo PPI,6,128,13,26,4.33,43,58
275−Relações Públicas,,,,,,,
− Ampla Concorrência,25,393,27,100,4.00,45,73
− Candidatos de Escola Pública,5,93,13,20,4.00,40,52
− Candidatos de Escola Pública − Grupo PPI,5,57,7,22,4.40,33,51
"280−Têxtil e Moda − USP Leste, SP",,,,,,,
− Ampla Concorrência,30,297,34,121,4.03,36,59
− Candidatos de Escola Pública,9,106,13,36,4.00,37,51
− Candidatos de Escola Pública − Grupo PPI,3,43,5,13,4.33,34,42
285−Turismo,,,,,,,
− Ampla Concorrência,15,97,9,61,4.07,30,55
− Candidatos de Escola Pública,4,33,5,16,4.00,27,43
− Candidatos de Escola Pública − Grupo PPI,2,14,3,8,4.00,28,35
399−Treinamento H (Humanas),,,,,,,
− Ampla Concorrência,180,3561,270,771,4.28,45,72
− Candidatos de Escola Pública,75,285,26,213,2.84,27,56
− Candidatos de Escola Pública − Grupo PPI,45,65,5,40,0.89,27,48
"400−Bacharelado em Biotecnologia − USP Leste, SP",,,,,,,
− Ampla Concorrência,36,343,20,146,4.06,44,67
− Candidatos de Escola Pública,6,130,15,28,4.67,42,56
− Candidatos de Escola Pública − Grupo PPI,0,0,0,0,−−−,−−−,−−−
401−Ciências Biológicas,,,,,,,
− Ampla Concorrência,72,1061,67,304,4.22,46,77
− Candidatos de Escola Pública,6,329,30,24,4.00,49,64
− Candidatos de Escola Pública − Grupo PPI,6,109,19,27,4.50,37,58
405−Ciências Biológicas − Piracicaba,,,,,,,
− Ampla Concorrência,13,106,12,55,4.23,36,61
− Candidatos de Escola Pública,5,71,4,24,4.80,38,52
− Candidatos de Escola Pública − Grupo PPI,3,11,2,4,1.33,31,49
410−Ciências Biológicas − Ribeirão Preto,,,,,,,
− Ampla Concorrência,24,264,18,97,4.04,44,75
− Candidatos de Escola Pública,1,54,7,4,4.00,46,50
− Candidatos de Escola Pública − Grupo PPI,3,18,1,12,4.00,31,43
415−Ciências Biomédicas,,,,,,,
− Ampla Concorrência,24,681,59,102,4.25,52,74
− Candidatos de Escola Pública,4,225,32,18,4.50,46,67
− Candidatos de Escola Pública − Grupo PPI,0,0,0,0,−−−,−−−,−−−
416−Ciências Biomédicas − Ribeirão Preto,,,,,,,
− Ampla Concorrência,15,264,18,61,4.07,48,64
− Candidatos de Escola Pública,3,77,11,13,4.33,43,51
− Candidatos de Escola Pública − Grupo PPI,2,17,2,8,4.00,35,50
,,,,,,,
425−Ciências dos Alimentos − Piracicaba,,,,,,,
− Ampla Concorrência,18,80,1,66,3.67,27,61
− Candidatos de Escola Pública,6,33,3,24,4.00,27,53
− Candidatos de Escola Pública − Grupo PPI,4,8,1,6,1.50,31,43
430−Educação Física e Esporte,,,,,,,
− Ampla Concorrência,60,440,34,260,4.33,32,63
− Candidatos de Escola Pública,12,121,17,49,4.08,33,57
− Candidatos de Escola Pública − Grupo PPI,8,50,7,25,3.13,27,41
435−Educação Física e Esporte − Ribeirão Preto,,,,,,,
− Ampla Concorrência,33,238,18,138,4.18,33,62
− Candidatos de Escola Pública,5,62,10,21,4.20,32,44
− Candidatos de Escola Pública − Grupo PPI,4,16,4,9,2.25,28,40
"436−Educação Física e Saúde − USP Leste, SP",,,,,,,
− Ampla Concorrência,30,122,14,79,2.63,27,55
− Candidatos de Escola Pública,9,48,6,30,3.33,27,52
− Candidatos de Escola Pública − Grupo PPI,3,12,1,5,1.67,27,42
440−Enfermagem,,,,,,,
− Ampla Concorrência,40,391,30,163,4.08,37,67
− Candidatos de Escola Pública,10,219,42,40,4.00,38,56
− Candidatos de Escola Pública − Grupo PPI,6,82,11,24,4.00,32,51
445−Enfermagem − Ribeirão Preto,,,,,,,
− Ampla Concorrência,77,440,31,323,4.19,30,66
− Candidatos de Escola Pública,17,201,27,72,4.24,33,59
− Candidatos de Escola Pública − Grupo PPI,10,76,11,41,4.10,29,51
450−Engenharia Agronômica − Piracicaba,,,,,,,
− Ampla Concorrência,102,859,63,444,4.35,37,73
− Candidatos de Escola Pública,34,230,21,142,4.18,30,64
− Candidatos de Escola Pública − Grupo PPI,24,65,13,41,1.71,27,50
455−Engenharia Florestal − Piracicaba,,,,,,,
− Ampla Concorrência,18,45,2,39,2.17,27,58
− Candidatos de Escola Pública,6,19,3,14,2.33,27,50
− Candidatos de Escola Pública − Grupo PPI,4,6,1,4,1.00,29,40
460−Farmácia − Bioquímica,,,,,,,
− Ampla Concorrência,90,876,39,368,4.09,43,79
− Candidatos de Escola Pública,21,267,36,88,4.19,39,66
− Candidatos de Escola Pública − Grupo PPI,9,65,10,37,4.11,28,54
465−Farmácia − Bioquímica − Ribeirão Preto,,,,,,,
− Ampla Concorrência,48,358,19,200,4.17,40,70
− Candidatos de Escola Pública,10,79,9,41,4.10,35,59
− Candidatos de Escola Pública − Grupo PPI,6,18,1,13,2.17,28,45
470−Fisioterapia,,,,,,,
− Ampla Concorrência,15,333,32,66,4.40,44,63
− Candidatos de Escola Pública,6,184,23,24,4.00,42,54
− Candidatos de Escola Pública − Grupo PPI,0,0,0,0,−−−,−−−,−−−
475−Fisioterapia − Ribeirão Preto,,,,,,,
− Ampla Concorrência,24,393,27,98,4.08,42,66
− Candidatos de Escola Pública,6,129,16,25,4.17,38,65
− Candidatos de Escola Pública − Grupo PPI,2,35,3,9,4.50,32,47
480−Fonoaudiologia,,,,,,,
− Ampla Concorrência,15,124,9,61,4.07,36,70
− Candidatos de Escola Pública,3,29,3,12,4.00,32,57
− Candidatos de Escola Pública − Grupo PPI,2,10,0,6,3.00,28,39
485−Fonoaudiologia − Bauru,,,,,,,
− Ampla Concorrência,18,169,6,75,4.17,36,60
− Candidatos de Escola Pública,5,37,6,20,4.00,30,45
− Candidatos de Escola Pública − Grupo PPI,5,20,4,13,2.60,28,48
,,,,,,,
490−Fonoaudiologia − Ribeirão Preto,,,,,,,
− Ampla Concorrência,18,68,2,59,3.28,27,52
− Candidatos de Escola Pública,4,33,4,16,4.00,29,47
− Candidatos de Escola Pública − Grupo PPI,2,5,0,2,1.00,35,37
"495−Gerontologia − USP Leste, SP",,,,,,,
− Ampla Concorrência,34,66,4,52,1.53,28,63
− Candidatos de Escola Pública,5,19,1,11,2.20,27,44
− Candidatos de Escola Pública − Grupo PPI,3,4,0,3,1.00,27,28
500−Medicina,,,,,,,
− Ampla Concorrência,105,11320,840,427,4.07,73,86
− Candidatos de Escola Pública,18,3000,286,77,4.28,65,78
− Candidatos de Escola Pública − Grupo PPI,12,1237,160,52,4.33,58,74
501−Medicina − Bauru,,,,,,,
− Ampla Concorrência,27,2687,123,109,4.04,68,81
− Candidatos de Escola Pública,8,692,48,32,4.00,61,76
− Candidatos de Escola Pública − Grupo PPI,7,271,25,31,4.43,52,62
505−Medicina − Ribeirão Preto,,,,,,,
− Ampla Concorrência,60,6584,349,284,4.73,72,83
− Candidatos de Escola Pública,15,1533,120,63,4.20,62,76
− Candidatos de Escola Pública − Grupo PPI,2,250,29,9,4.50,54,69
510−Medicina Veterinária,,,,,,,
− Ampla Concorrência,48,1710,139,201,4.19,51,78
− Candidatos de Escola Pública,7,594,75,32,4.57,47,63
− Candidatos de Escola Pública − Grupo PPI,5,204,21,21,4.20,40,51
515−Medicina Veterinária − Pirassununga,,,,,,,
− Ampla Concorrência,27,644,38,112,4.15,47,71
− Candidatos de Escola Pública,9,189,19,37,4.11,42,55
− Candidatos de Escola Pública − Grupo PPI,6,40,9,24,4.00,27,47
520−Nutrição,,,,,,,
− Ampla Concorrência,44,588,54,177,4.02,41,64
− Candidatos de Escola Pública,10,222,26,40,4.00,39,55
− Candidatos de Escola Pública − Grupo PPI,2,53,6,8,4.00,40,46
525−Nutrição e Metabolismo − Ribeirão Preto,,,,,,,
− Ampla Concorrência,18,237,12,73,4.06,44,62
− Candidatos de Escola Pública,3,37,4,12,4.00,36,52
− Candidatos de Escola Pública − Grupo PPI,3,14,2,8,2.67,29,47
"530−Obstetrícia − USP Leste, SP",,,,,,,
− Ampla Concorrência,28,229,17,115,4.11,36,70
− Candidatos de Escola Pública,8,82,10,33,4.13,35,62
− Candidatos de Escola Pública − Grupo PPI,6,44,5,22,3.67,29,48
535−Odontologia,,,,,,,
− Ampla Concorrência,79,1165,97,352,4.46,42,72
− Candidatos de Escola Pública,9,324,35,36,4.00,43,57
− Candidatos de Escola Pública − Grupo PPI,5,100,14,21,4.20,36,51
540−Odontologia − Bauru,,,,,,,
− Ampla Concorrência,22,371,21,97,4.41,44,66
− Candidatos de Escola Pública,6,113,16,26,4.33,39,58
− Candidatos de Escola Pública − Grupo PPI,7,26,2,18,2.57,27,49
545−Odontologia − Ribeirão Preto,,,,,,,
− Ampla Concorrência,36,558,39,152,4.22,43,64
− Candidatos de Escola Pública,10,162,20,40,4.00,38,52
− Candidatos de Escola Pública − Grupo PPI,10,39,3,24,2.40,27,47
550−Psicologia,,,,,,,
− Ampla Concorrência,42,2268,186,182,4.33,57,80
− Candidatos de Escola Pública,4,579,81,16,4.00,52,63
− Candidatos de Escola Pública − Grupo PPI,4,242,36,17,4.25,44,52
,,,,,,,
555−Psicologia − Ribeirão Preto,,,,,,,
− Ampla Concorrência,24,922,63,96,4.00,54,70
