CODIGO_E_NOME_DA_CARREIRA,VAGAS,INSCRITOS,AUSENTES,CONVOC_2_FASE,CONVOC_POR_VAGA,CORTE_MIN,MAX
535−Odontologia,133,1275,133,312,2.35,46,66
540−Odontologia − Bauru,50,475,63,117,2.34,45,71
545−Odontologia − Ribeirão Preto,80,833,88,196,2.45,46,68
550−Psicologia,70,2848,363,183,2.61,60,77
555−Psicologia − Ribeirão Preto,40,1062,138,107,2.68,54,70
560−Saúde Pública,40,341,28,98,2.45,43,65
565−Terapia Ocupacional,25,186,15,63,2.52,41,65
570−Terapia Ocupacional − Ribeirão Preto,20,114,14,45,2.25,36,60
575−Zootecnia − Pirassununga,40,265,31,94,2.35,37,57
699−Treinamento Biológicas,300,4541,320,699,2.33,50,79
700−Ciências Biomoleculares − São Carlos,40,196,24,109,2.73,44,83
"705−Ciências da Natureza − USP Leste, SP",120,211,19,157,1.31,27,64
710−Computação,330,2816,265,785,2.38,49,88
715−Engenharia Aeronáutica − São Carlos,40,1073,110,104,2.60,68,90
720−Engenharia Ambiental − Lorena,40,377,30,98,2.45,46,68
725−Engenharia Ambiental − São Carlos,40,484,40,102,2.55,52,73
730−Engenharia Bioquímica − Lorena,40,300,20,102,2.55,50,76
735−Engenharia Civil − São Carlos,60,2402,293,143,2.38,62,82
740−Engenharia de Alimentos − Pirassununga,100,551,36,253,2.53,42,74
745−Engenharia de Biossistemas − Pirassununga,60,157,18,129,2.15,27,65
750−Engenharia de Materiais − Lorena,40,284,18,104,2.60,48,70
755−Engenharia de Materiais e Manufatura − São Carlos,50,402,22,132,2.64,54,78
760−Engenharia de Produção − Lorena,40,747,91,103,2.58,51,76
765−Engenharia Elétrica e de Computação − São Carlos,150,1993,177,380,2.53,56,89
770−Engenharia Física − Lorena,40,237,21,110,2.75,50,76
775−Engenharia na Escola Politécnica,870,11495,691,2259,2.60,61,90
780−Engenharia Química − Lorena,160,1495,130,426,2.66,50,90
785−Engenharia − São Carlos,150,2508,171,410,2.73,60,83
790−Fís. / Fís. Comput. / Meteor. / Geofís. / Astron. / Estatís. / Mat. / Mat. Apl.,550,2626,318,1380,2.51,43,87
795−Física Médica − Ribeirão Preto,40,157,19,92,2.30,37,67
800−Geologia,50,607,55,124,2.48,54,76
805−Informática Biomédica − Ribeirão Preto,40,133,11,93,2.33,33,61
810−Sistemas de Informação − São Carlos,40,256,39,99,2.48,42,69
815−Licenciatura em Ciências Exatas − São Carlos,50,318,16,123,2.46,44,70
820−Licenciatura em Geociências e Educação Ambiental,40,77,8,62,1.55,27,74
825−Licenciatura em Matemática / Física,260,786,95,597,2.30,31,76
830−Matemática Aplicada − Ribeirão Preto,45,171,22,106,2.36,35,61
840−Oceanografia,40,299,43,96,2.40,46,72
850−Química (Bacharelados) − Ribeirão Preto,60,404,32,148,2.47,46,72
855−Química − Bacharelado e Licenciatura,120,954,65,298,2.48,51,79
865−Química − Licenciatura − Ribeirão Preto,40,136,18,93,2.33,33,64
870−Química (Bacharelados) − São Carlos,60,417,24,143,2.38,47,74
999−Treinamento Exatas,300,4853,279,766,2.55,52,76
Total,12077,141888,14470,29698,2.46,,90
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
