CODIGO_E_NOME_DA_CARREIRA,VAGAS,INSCRITOS,AUSENTES,CONVOC_2_FASE,CONVOC_POR_VAGA,CORTE_MIN,MAX
"100−Administração, Ciências Contábeis, Economia, Economia Empresarial e Controla...",212,1753,201,464,2.19,42,71
101−Administração − Piracicaba,35,345,40,78,2.23,39,61
105−Arquitetura − FAU,105,3587,284,258,2.46,55,74
110−Arquitetura − São Carlos,31,1075,79,75,2.42,53,69
115−Artes Cênicas,30,691,90,71,2.37,48,71
125−Artes Visuais,30,128,0,76,2.53,41,65
130−Biblioteconomia,25,211,29,59,2.36,42,72
140−Ciências da Informação e da Documentação − Ribeirão Preto,30,314,22,62,2.07,39,59
145−Ciências Sociais,147,1205,171,337,2.29,44,73
150−Curso Superior do Audiovisual,35,1372,140,85,2.43,56,77
155−Design,28,977,142,67,2.39,52,73
160−Direito,448,10909,1130,1079,2.41,55,79
"165−Economia, Administração, Ciências Contábeis e Atuária",413,5770,560,1050,2.54,50,82
175−Economia − Piracicaba,35,355,25,89,2.54,45,76
185−Editoração,10,200,19,22,2.20,50,61
190−Filosofia,119,881,192,277,2.33,43,75
195−Geografia,119,790,65,287,2.41,41,69
"200−Gestão Ambiental − USP Leste, SP",84,267,42,162,1.93,27,63
205−Gestão Ambiental − Piracicaba,32,129,15,67,2.09,32,55
"210−Gestão de Políticas Públicas − USP Leste, SP",84,462,71,185,2.20,39,66
215−História,189,1911,218,448,2.37,45,72
220−Jornalismo,42,1815,166,92,2.19,55,72
"225−Lazer e Turismo − USP Leste, SP",84,355,37,173,2.06,30,51
230−Licenciatura em Educomunicação,21,113,17,47,2.24,38,60
235−Letras,594,2755,371,1384,2.33,36,72
"240−Marketing − USP Leste, SP",84,707,86,190,2.26,39,58
245−Música − ECA,50,138,4,96,1.92,27,65
250−Música − Ribeirão Preto,30,43,0,23,0.77,27,53
255−Pedagogia,126,762,108,280,2.22,36,69
260−Pedagogia − Ribeirão Preto,40,171,23,85,2.13,27,57
265−Publicidade e Propaganda,35,1549,172,86,2.46,50,73
270−Relações Internacionais,42,1962,197,116,2.76,56,78
275−Relações Públicas,35,746,65,83,2.37,47,68
"280−Têxtil e Moda − USP Leste, SP",42,425,68,86,2.05,39,63
285−Turismo,21,224,24,43,2.05,39,62
399−Treinamento Humanas,300,4483,460,693,2.31,43,70
400−Ciências Biológicas,84,1632,133,211,2.51,51,75
405−Ciências Biológicas − Piracicaba,24,321,20,56,2.33,44,64
410−Ciências Biológicas − Ribeirão Preto,30,498,31,80,2.67,47,63
415−Ciências Biomédicas,30,993,81,74,2.47,54,76
416−Ciências Biomédicas − Ribeirão Preto,20,436,40,45,2.25,49,64
425−Ciências dos Alimentos − Piracicaba,28,239,14,60,2.14,37,60
430−Educação Física e Esporte,80,720,82,174,2.18,38,71
435−Educação Física e Esporte − Ribeirão Preto,48,329,43,97,2.02,34,67
"436−Educação Física e Saúde − USP Leste, SP",42,235,38,85,2.02,32,54
440−Enfermagem,56,758,90,128,2.29,42,73
445−Enfermagem − Ribeirão Preto,117,650,63,260,2.22,33,60
450−Engenharia Agronômica − Piracicaba(*),160,1202,91,347,2.17,40,68
455−Engenharia Florestal − Piracicaba (*),32,107,9,68,2.13,31,53
460−Farmácia−Bioquímica,120,1075,78,291,2.43,45,78
465−Farmácia−Bioquímica − Ribeirão Preto,56,509,40,126,2.25,44,76
470−Fisioterapia,25,695,76,56,2.24,45,76
475−Fisioterapia − Ribeirão Preto,34,570,48,73,2.15,41,66
480−Fonoaudiologia,25,239,21,54,2.16,39,60
485−Fonoaudiologia − Bauru,28,297,30,65,2.32,38,64
490−Fonoaudiologia − Ribeirão Preto,27,110,13,59,2.19,30,61
"495−Gerontologia − USP Leste, SP",42,97,9,62,1.48,27,51
500−Medicina,295,18598,1595,776,2.63,69,88
505−Medicina − Ribeirão Preto,90,6802,533,239,2.66,69,81
510−Medicina Veterinária,72,2303,238,170,2.36,50,71
515−Medicina Veterinária − Pirassununga,42,1052,86,97,2.31,48,69
520−Nutrição,64,1125,147,135,2.11,44,65
525−Nutrição e Metabolismo − Ribeirão Preto,27,399,43,64,2.37,43,66
"530−Obstetrícia − USP Leste, SP",42,395,42,97,2.31,38,60
535−Odontologia,120,1655,159,260,2.17,44,68
540−Odontologia − Bauru,38,738,67,90,2.37,44,68
545−Odontologia − Ribeirão Preto,72,851,60,173,2.40,41,66
550−Psicologia,49,2619,318,110,2.24,58,75
555−Psicologia − Ribeirão Preto,32,1187,115,78,2.44,54,72
560−Saúde Pública,32,470,46,70,2.19,41,69
565−Terapia Ocupacional,25,221,15,54,2.16,39,69
570−Terapia Ocupacional − Ribeirão Preto,18,189,18,37,2.06,37,59
575−Zootecnia − Pirassununga,28,266,36,62,2.21,36,52
699−Treinamento Biológicas,300,4448,330,685,2.28,44,80
700−Ciências Biomoleculares − São Carlos,28,184,14,72,2.57,44,83
"705−Ciências da Natureza − USP Leste, SP",84,194,23,118,1.40,27,57
710−Computação,256,2546,251,616,2.41,46,79
715−Engenharia Aeronáutica − São Carlos,40,1045,95,101,2.53,62,78
720−Engenharia Ambiental − Lorena,32,192,17,69,2.16,38,66
725−Engenharia Ambiental − São Carlos,40,313,23,89,2.23,44,60
730−Engenharia Bioquímica − Lorena,30,236,18,70,2.33,44,75
735−Engenharia Civil − São Carlos,60,1664,163,130,2.17,55,75
740−Engenharia de Alimentos − Pirassununga,68,428,12,151,2.22,39,68
745−Engenharia de Biossistemas − Pirassununga,42,110,9,79,1.88,27,69
750−Engenharia de Materiais − Lorena,30,143,5,71,2.37,39,68
755−Engenharia de Materiais e Manufatura − São Carlos,50,318,9,121,2.42,45,73
760−Engenharia de Produção − Lorena,30,591,53,65,2.17,48,71
765−Engenharia Elétrica e de Computação − São Carlos,150,1724,132,384,2.56,51,84
770−Engenharia Física − Lorena,30,204,31,72,2.40,45,73
