CODIGO_E_NOME_DA_CARREIRA,VAGAS,INSCRITOS,AUSENTES,CONVOC_2_FASE,CONVOC_POR_VAGA,CORTE_MIN,MAX
775−Engenharia na Escola Politécnica,783,8786,492,2068,2.64,55,82
780−Engenharia Química − Lorena,120,1108,80,299,2.49,45,68
785−Engenharia − São Carlos,150,2004,115,388,2.59,54,82
790−Fís. / Fís. Comput. / Meteor. / Geofís. / Astron. / Estatís. / Mat. / Mat. Apl.,475,2550,274,1122,2.36,41,80
795−Física Médica − Ribeirão Preto,34,163,11,74,2.18,36,73
800−Geologia,35,298,22,91,2.60,46,72
805−Informática Biomédica − Ribeirão Preto,36,126,9,81,2.25,32,56
810−Sistemas de Informação − São Carlos,28,245,20,63,2.25,41,61
815−Licenciatura em Ciências Exatas − São Carlos,35,285,15,77,2.20,41,79
820−Licenciatura em Geociências e Educação Ambiental,28,43,5,28,1.00,27,63
825−Licenciatura em Matemática / Física,230,840,76,521,2.27,33,89
830−Matemática Aplicada − Ribeirão Preto,40,206,14,85,2.13,34,66
840−Oceanografia,28,233,20,74,2.64,41,72
850−Química (Bacharelados) − Ribeirão Preto,54,314,22,116,2.15,38,67
855−Química − Bacharelado e Licenciatura,84,775,52,192,2.29,48,75
865−Química − Licenciatura − Ribeirão Preto,35,121,7,75,2.14,30,53
870−Química (Bacharelados) − São Carlos,48,321,19,114,2.38,41,72
999−Treinamento Exatas,300,3821,214,751,2.50,45,75
Total,9754,136741,12553,22870,2.34,,89
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
